 time            p2e             vout           
 0.00000000e+00  5.54507453e-07  5.48774776e-01 
 1.00000000e-12  5.54050171e-07  5.48774776e-01 
 2.00000000e-12  5.53763524e-07  5.48774776e-01 
 4.00000000e-12  5.53449621e-07  5.48774775e-01 
 8.00000000e-12  5.53411849e-07  5.48774775e-01 
 1.60000000e-11  5.53861990e-07  5.48774775e-01 
 3.20000000e-11  5.54444342e-07  5.48774774e-01 
 6.40000000e-11  5.54646649e-07  5.48774773e-01 
 1.28000000e-10  5.54567277e-07  5.48774772e-01 
 2.28000000e-10  5.54510537e-07  5.48774771e-01 
 3.28000000e-10  5.54505516e-07  5.48774771e-01 
 4.28000000e-10  5.54506945e-07  5.48774771e-01 
 5.28000000e-10  5.54507501e-07  5.48774771e-01 
 6.28000000e-10  5.54507568e-07  5.48774771e-01 
 7.28000000e-10  5.54507551e-07  5.48774772e-01 
 8.28000000e-10  5.54507546e-07  5.48774772e-01 
 9.28000000e-10  5.54507543e-07  5.48774773e-01 
 1.02800000e-09  5.54507545e-07  5.48774773e-01 
 1.12800000e-09  5.54507544e-07  5.48774774e-01 
 1.22800000e-09  5.54507543e-07  5.48774774e-01 
 1.32800000e-09  5.54507545e-07  5.48774774e-01 
 1.42800000e-09  5.54507546e-07  5.48774775e-01 
 1.52800000e-09  5.54507542e-07  5.48774775e-01 
 1.62800000e-09  5.54507546e-07  5.48774775e-01 
 1.72800000e-09  5.54507543e-07  5.48774775e-01 
 1.82800000e-09  5.54507546e-07  5.48774775e-01 
 1.92800000e-09  5.54507543e-07  5.48774775e-01 
 2.02800000e-09  5.54507546e-07  5.48774775e-01 
 2.12800000e-09  5.54507543e-07  5.48774775e-01 
 2.22800000e-09  5.54507543e-07  5.48774775e-01 
 2.32800000e-09  5.54507544e-07  5.48774775e-01 
 2.42800000e-09  5.54507544e-07  5.48774775e-01 
 2.52800000e-09  5.54507546e-07  5.48774775e-01 
 2.62800000e-09  5.54507542e-07  5.48774775e-01 
 2.72800000e-09  5.54507545e-07  5.48774775e-01 
 2.82800000e-09  5.54507544e-07  5.48774775e-01 
 2.92800000e-09  5.54507544e-07  5.48774775e-01 
 3.02800000e-09  5.54507544e-07  5.48774775e-01 
 3.12800000e-09  5.54507544e-07  5.48774775e-01 
 3.22800000e-09  5.54507544e-07  5.48774775e-01 
 3.32800000e-09  5.54507545e-07  5.48774775e-01 
 3.42800000e-09  5.54507543e-07  5.48774775e-01 
 3.52800000e-09  5.54507545e-07  5.48774775e-01 
 3.62800000e-09  5.54507543e-07  5.48774775e-01 
 3.72800000e-09  5.54507546e-07  5.48774775e-01 
 3.82800000e-09  5.54507543e-07  5.48774775e-01 
 3.92800000e-09  5.54507546e-07  5.48774775e-01 
 4.02800000e-09  5.54507543e-07  5.48774775e-01 
 4.12800000e-09  5.54507545e-07  5.48774775e-01 
 4.22800000e-09  5.54507543e-07  5.48774775e-01 
 4.32800000e-09  5.54507546e-07  5.48774775e-01 
 4.42800000e-09  5.54507542e-07  5.48774775e-01 
 4.52800000e-09  5.54507547e-07  5.48774775e-01 
